,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Spain,Geography_France,Geography_Germany,Gender_Male,Gender_Female
0,4,0,5,2,2,0,1,2,0,1,-1,-1,1,-1
1,3,2,4,0,1,1,0,2,1,-1,1,-1,-1,1
2,3,0,5,2,1,1,1,2,0,-1,1,-1,-1,1
3,2,1,4,1,1,1,0,2,0,1,-1,-1,-1,1
4,4,1,5,2,1,0,1,2,0,1,-1,-1,1,-1
5,2,1,5,1,1,1,1,1,0,-1,1,-1,-1,1
6,2,0,6,2,1,1,0,2,0,-1,1,-1,1,-1
7,4,0,6,2,1,1,0,1,0,-1,-1,1,-1,1
8,1,1,3,0,2,1,1,1,0,-1,1,-1,1,-1
9,3,1,4,3,2,0,0,1,0,-1,1,-1,1,-1
10,2,0,4,0,2,1,1,2,0,1,-1,-1,1,-1
11,1,1,3,0,2,1,1,2,0,-1,1,-1,-1,1
12,4,0,6,3,1,1,0,1,0,-1,-1,1,1,-1
13,1,0,5,0,2,1,0,1,0,1,-1,-1,1,-1
14,4,1,4,1,1,1,0,2,1,1,-1,-1,-1,1
15,2,1,5,2,1,1,1,2,0,1,-1,-1,1,-1
16,2,2,6,0,1,1,0,1,0,-1,1,-1,-1,1
17,4,0,5,2,2,1,1,2,0,-1,1,-1,1,-1
18,3,3,4,2,1,0,0,2,0,-1,-1,1,1,-1
19,1,1,6,2,1,0,0,1,0,-1,-1,1,1,-1
20,4,1,3,0,2,0,0,2,0,-1,1,-1,-1,1
21,4,2,6,0,2,0,0,2,0,-1,1,-1,1,-1
22,3,1,6,0,2,1,0,2,0,-1,1,-1,1,-1
23,3,2,5,0,2,0,1,1,0,1,-1,-1,1,-1
24,2,1,7,2,1,0,0,1,0,1,-1,-1,1,-1
25,3,1,4,2,1,1,1,1,0,-1,1,-1,1,-1
26,3,1,5,0,1,1,1,1,0,1,-1,-1,1,-1
27,2,1,3,2,1,0,0,2,0,-1,1,-1,1,-1
28,2,0,3,2,2,1,1,2,0,-1,-1,1,-1,1
29,3,1,3,1,2,1,0,2,0,-1,-1,1,-1,1
30,3,0,5,2,1,0,0,2,0,-1,-1,1,1,-1
31,3,1,4,2,1,1,0,1,0,-1,1,-1,1,-1
32,2,2,4,2,1,1,1,1,0,1,-1,-1,-1,1
33,2,1,5,0,1,0,0,1,0,-1,1,-1,1,-1
34,3,0,6,0,2,1,1,2,0,-1,1,-1,1,-1
35,3,1,6,2,1,1,0,2,0,-1,-1,1,-1,1
36,2,0,4,3,1,0,0,1,0,-1,-1,1,-1,1
37,3,1,5,1,2,1,0,1,0,-1,-1,1,1,-1
38,4,3,6,1,1,1,1,1,0,-1,1,-1,1,-1
39,3,1,6,0,3,1,0,1,0,1,-1,-1,-1,1
40,3,0,4,0,1,1,0,1,1,-1,1,-1,1,-1
41,2,1,6,2,1,1,1,2,0,-1,-1,1,-1,1
42,1,2,3,2,3,0,0,1,1,1,-1,-1,-1,1
43,3,0,2,2,2,1,0,2,0,-1,1,-1,-1,1
44,3,1,6,1,2,0,1,2,0,-1,-1,1,-1,1
45,4,2,6,2,1,1,1,1,0,-1,1,-1,1,-1
46,1,1,5,2,1,1,0,1,0,-1,1,-1,-1,1
47,3,3,6,0,2,0,1,1,0,-1,1,-1,1,-1
48,1,1,4,0,2,1,1,1,0,1,-1,-1,-1,1
49,504,1,5,0,1,1,0,2,1,-1,1,-1,1,-1
50,2,1,4,0,2,1,1,1,0,-1,1,-1,1,-1
51,3,2,5,2,2,0,1,2,0,-1,1,-1,1,-1
52,3,2,4,0,2,1,1,2,0,-1,1,-1,-1,1
53,2,3,4,0,1,1,1,1,0,1,-1,-1,-1,1
54,3,1,4,0,2,1,1,1,0,-1,1,-1,-1,1
55,3,1,4,3,1,1,0,2,0,1,-1,-1,-1,1
56,3,1,3,0,3,0,0,1,1,-1,1,-1,-1,1
57,3,1,7,3,1,0,1,2,0,1,-1,-1,-1,1
58,4,2,3,1,1,0,1,1,1,-1,-1,1,-1,1
59,2,0,7,2,1,0,0,2,0,-1,1,-1,-1,1
60,4,1,4,2,2,1,1,1,0,-1,-1,1,1,-1
61,3,1,5,1,1,1,1,1,1,1,-1,-1,1,-1
62,4,1,6,0,2,1,1,1,0,1,-1,-1,1,-1
63,3,1,2,2,1,0,1,2,0,1,-1,-1,1,-1
64,4,1,5,3,3,1,0,1,1,-1,-1,1,1,-1
65,3,1,6,2,1,1,1,1,0,1,-1,-1,-1,1
66,2,1,3,0,2,1,1,2,0,-1,1,-1,-1,1
67,3,1,3,0,2,1,1,1,0,1,-1,-1,-1,1
68,3,1,3,0,2,1,0,2,0,1,-1,-1,1,-1
69,3,0,5,0,2,1,0,1,0,-1,1,-1,-1,1
70,1,0,6,2,1,1,1,1,0,-1,1,-1,-1,1
71,3,0,6,2,2,1,1,2,0,-1,-1,1,1,-1
72,3,0,4,2,2,1,1,1,0,-1,1,-1,1,-1
73,3,1,5,1,1,1,1,1,1,-1,1,-1,1,-1
74,2,2,5,1,2,1,1,1,0,-1,-1,1,-1,1
75,3,0,6,0,2,0,1,1,0,1,-1,-1,-1,1
76,2,3,5,2,1,1,1,1,0,-1,1,-1,-1,1
77,2,0,5,0,2,1,0,2,0,1,-1,-1,-1,1
78,3,1,4,2,1,1,0,1,0,1,-1,-1,-1,1
79,4,1,4,1,1,1,0,2,0,1,-1,-1,1,-1
80,1,3,6,0,2,1,1,1,0,1,-1,-1,1,-1
81,4,2,5,2,1,1,1,2,0,-1,1,-1,1,-1
82,1,1,3,0,2,1,0,1,0,-1,1,-1,-1,1
83,3,1,5,3,1,0,1,2,0,-1,1,-1,-1,1
84,3,0,4,2,2,0,1,2,0,-1,-1,1,1,-1
85,3,2,4,3,2,1,0,1,1,1,-1,-1,-1,1
86,3,1,3,2,1,0,0,2,0,-1,1,-1,1,-1
87,3,1,3,3,1,1,0,2,1,-1,-1,1,1,-1
88,2,1,4,0,2,1,0,1,0,-1,1,-1,1,-1
89,3,1,3,0,1,1,1,2,0,-1,1,-1,-1,1
90,4,1,5,0,2,1,0,2,0,-1,1,-1,-1,1
91,3,1,5,2,1,0,1,2,0,-1,1,-1,-1,1
92,4,1,6,0,1,0,0,2,0,-1,1,-1,-1,1
93,3,3,5,0,2,0,1,2,0,-1,1,-1,-1,1
94,1,1,4,0,2,0,1,2,0,1,-1,-1,-1,1
95,3,1,3,2,1,1,0,2,0,1,-1,-1,-1,1
96,4,2,3,0,2,1,0,1,1,1,-1,-1,-1,1
97,1,1,5,2,1,0,1,2,0,1,-1,-1,1,-1
98,2,2,4,2,1,1,1,2,1,-1,-1,1,-1,1
99,4,0,5,1,2,0,1,2,0,-1,1,-1,1,-1
100,3,0,3,0,2,1,0,1,0,-1,1,-1,-1,1
