,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,HasCrCard,IsActiveMember,Geography_France,Geography_Spain,Geography_Germany,Gender_Female,Gender_Male
0,0,0.8925081433224755,0.18867924528301888,0.6,0.4096210986439924,0.3333333333333333,0.5891627487408181,-1,1,-1,1,-1,-1,1
1,1,0.7687296416938111,0.49056603773584906,0.4,0.0,0.0,0.6540322778081714,1,-1,1,-1,-1,1,-1
2,0,0.7361563517915309,0.05660377358490566,0.6,0.4560251292452607,0.0,0.8875137829696641,1,1,1,-1,-1,1,-1
3,0,0.4755700325732899,0.22641509433962265,0.4,0.33195372332533485,0.0,0.6277696589168165,1,-1,-1,1,-1,1,-1
4,0,1.0,0.2641509433962264,0.6,0.45986372914834006,0.0,0.810458625667256,-1,1,-1,1,-1,-1,1
5,0,0.4201954397394137,0.2641509433962264,0.6,0.33365899234809687,0.0,0.16618789189067043,1,1,1,-1,-1,1,-1
6,0,0.41042345276872966,0.16981132075471697,0.8,0.5814143439737923,0.0,0.6874639241656537,1,-1,1,-1,-1,-1,1
7,0,1.0,0.11320754716981132,0.8,0.4907422305543703,0.0,0.372104752452686,1,-1,-1,-1,1,1,-1
8,0,0.3257328990228013,0.33962264150943394,0.2,0.0,0.3333333333333333,0.26232392874192917,1,1,1,-1,-1,-1,1
9,0,0.6872964169381107,0.32075471698113206,0.4,0.6252108291878554,0.3333333333333333,0.4444382715991258,-1,-1,1,-1,-1,-1,1
10,0,0.5570032573289903,0.1320754716981132,0.4,0.0,0.3333333333333333,0.8837804932019709,1,1,-1,1,-1,-1,1
11,0,0.20195439739413681,0.24528301886792453,0.2,0.0,0.3333333333333333,0.9007401372317678,1,1,1,-1,-1,1,-1
12,0,0.8241042345276873,0.18867924528301888,0.8,0.6404210612460725,0.0,0.15438856345439128,1,-1,-1,-1,1,-1,1
13,0,0.3127035830618892,0.18867924528301888,0.6,0.0,0.3333333333333333,0.33960542806537486,1,-1,-1,1,-1,-1,1
14,1,0.8664495114006515,0.3584905660377358,0.4,0.32607544594204413,0.0,0.821088108369217,1,-1,-1,1,-1,1,-1
15,0,0.4820846905537459,0.24528301886792453,0.6,0.5389311474635036,0.0,0.610114863573318,1,1,-1,1,-1,-1,1
16,0,0.5993485342019544,0.4528301886792453,0.8,0.19575178343908134,0.0,0.20925419892109123,1,-1,1,-1,-1,1,-1
17,0,1.0,0.16981132075471697,0.6,0.5260967459448117,0.3333333333333333,0.893764612772705,1,1,1,-1,-1,-1,1
18,0,0.742671009771987,0.6792452830188679,0.4,0.5441491723410503,0.0,0.8770215414515458,-1,-1,-1,-1,1,-1,1
19,0,0.23778501628664495,0.2641509433962264,0.8,0.4527711295670604,0.0,0.059699326458876184,-1,-1,-1,-1,1,-1,1
20,0,0.8338762214983714,0.22641509433962265,0.2,0.0,0.3333333333333333,0.7212678637173858,-1,-1,1,-1,-1,1,-1
21,0,0.9283387622149837,0.41509433962264153,0.8,0.0,0.3333333333333333,0.7891300980509398,-1,-1,1,-1,-1,-1,1
22,0,0.7882736156351792,0.39622641509433965,0.8,0.0,0.3333333333333333,0.5658119734576023,1,-1,1,-1,-1,-1,1
23,0,0.7915309446254072,0.41509433962264153,0.6,0.0,0.3333333333333333,0.050428248990818235,-1,1,-1,1,-1,-1,1
24,0,0.5570032573289903,0.3018867924528302,1.0,0.5984441957770008,0.0,0.034626798141994486,-1,-1,-1,1,-1,-1,1
25,0,0.6677524429967426,0.22641509433962265,0.4,0.5467534664247803,0.0,0.18628042493448682,1,1,1,-1,-1,-1,1
26,0,0.7687296416938111,0.2830188679245283,0.6,0.0,0.0,0.4756638188924848,1,1,-1,1,-1,-1,1
27,0,0.4495114006514658,0.20754716981132076,0.2,0.44867773849163467,0.0,0.828154146096183,-1,-1,1,-1,-1,-1,1
28,0,0.5602605863192183,0.16981132075471697,0.2,0.44788497554425033,0.3333333333333333,0.6558446618122994,1,1,-1,-1,1,1,-1
29,0,0.6644951140065146,0.2830188679245283,0.2,0.39881590699432296,0.3333333333333333,0.5460013380426914,1,-1,-1,-1,1,1,-1
30,0,0.7003257328990228,0.18867924528301888,0.6,0.4085337358817103,0.0,0.5314316444742416,-1,-1,-1,-1,1,-1,1
31,0,0.6612377850162866,0.20754716981132076,0.4,0.5711201620703412,0.0,0.3326038913407641,1,-1,1,-1,-1,-1,1
32,0,0.4592833876221498,0.5471698113207547,0.4,0.5899651135137098,0.0,0.37436899658097605,1,1,-1,1,-1,1,-1
33,0,0.42996742671009774,0.20754716981132076,0.6,0.0,0.0,0.3729469142626312,-1,-1,1,-1,-1,-1,1
34,0,0.6710097719869706,0.07547169811320754,0.8,0.0,0.3333333333333333,0.561190853287056,1,1,1,-1,-1,-1,1
35,0,0.6026058631921825,0.2641509433962264,0.8,0.5787979169770935,0.0,0.7956822464051286,1,-1,-1,-1,1,1,-1
36,0,0.4169381107491857,0.1320754716981132,0.4,0.6068791078930785,0.0,0.32118438906251323,-1,-1,-1,-1,1,1,-1
37,0,0.6644951140065146,0.24528301886792453,0.6,0.2884581819329506,0.3333333333333333,0.18443967461362964,1,-1,-1,-1,1,-1,1
38,0,0.8990228013029316,0.6981132075471698,0.8,0.2806587806961706,0.0,0.18237717267153747,1,1,1,-1,-1,-1,1
39,0,0.7166123778501629,0.2641509433962264,0.8,0.0,0.6666666666666666,0.35866912304060566,1,-1,-1,1,-1,1,-1
40,1,0.6840390879478827,0.1509433962264151,0.4,0.0,0.0,0.38375871822854823,1,-1,1,-1,-1,-1,1
41,0,0.495114006514658,0.22641509433962265,0.8,0.5225270526291665,0.0,0.964297518170921,1,1,-1,-1,1,1,-1
