,Exited,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,HasCrCard,IsActiveMember,Geography_France,Geography_Spain,Geography_Germany,Gender_Female,Gender_Male
0,0,720,38,5,114051.97,2,107577.29,-1,1,-1,1,-1,-1,1
1,1,682,54,4,62397.41,1,113088.6,1,-1,1,-1,-1,1,-1
2,0,672,31,5,119903.67,1,132925.17,1,1,1,-1,-1,1,-1
3,0,592,40,4,104257.86,1,110857.33,1,-1,-1,1,-1,1,-1
4,0,753,42,5,120387.73,1,126378.57,-1,1,-1,1,-1,-1,1
5,0,575,42,5,104472.9,1,71641.38,1,1,1,-1,-1,1,-1
6,0,572,37,6,135715.66,1,115928.95,1,-1,1,-1,-1,-1,1
7,0,753,34,6,124281.61,1,89136.06,1,-1,-1,-1,1,1,-1
8,0,546,46,3,62397.41,2,79809.09,1,1,1,-1,-1,-1,1
9,0,657,45,4,141238.54,2,95281.51,-1,-1,1,-1,-1,-1,1
10,0,617,35,4,62397.41,2,132607.99,1,1,-1,1,-1,-1,1
11,0,508,41,3,62397.41,2,134048.88,1,1,1,-1,-1,1,-1
12,0,699,38,6,143156.6,1,70638.91,1,-1,-1,-1,1,-1,1
13,0,542,38,5,62397.41,2,86374.92,1,-1,-1,1,-1,-1,1
14,1,712,47,4,103516.59,1,127281.65,1,-1,-1,1,-1,1,-1
15,0,594,41,5,130358.39,1,109357.38,1,1,-1,1,-1,-1,1
16,0,630,52,6,87082.35,1,75300.29,1,-1,1,-1,-1,1,-1
17,0,753,37,5,128739.93,2,133456.24,1,1,1,-1,-1,-1,1
18,0,674,64,4,131016.4,1,132033.75,-1,-1,-1,-1,1,-1,1
19,0,519,42,6,119493.33,1,62594.12,-1,-1,-1,-1,1,-1,1
20,0,702,40,3,62397.41,2,118800.93,-1,-1,1,-1,-1,1,-1
21,0,731,50,6,62397.41,2,124566.5,-1,-1,1,-1,-1,-1,1
22,0,688,49,6,62397.41,2,105593.41,1,-1,1,-1,-1,-1,1
23,0,689,50,5,62397.41,2,61806.45,-1,1,-1,1,-1,-1,1
24,0,617,44,7,137863.18,1,60463.96,-1,-1,-1,1,-1,-1,1
25,0,651,40,4,131344.81,1,73348.44,1,1,1,-1,-1,-1,1
26,0,682,43,5,62397.41,1,97934.43,1,1,-1,1,-1,-1,1
27,0,584,39,3,118977.14,1,127881.98,-1,-1,1,-1,-1,-1,1
28,0,618,37,3,118877.17,2,113242.58,1,1,-1,-1,1,1,-1
29,0,650,43,3,112689.4,2,103910.3,1,-1,-1,-1,1,1,-1
30,0,661,38,5,113914.85,1,102672.46,-1,-1,-1,-1,1,-1,1
31,0,649,39,4,134417.53,1,85780.07,1,-1,1,-1,-1,-1,1
32,0,587,57,4,136793.94,1,89328.43,1,1,-1,1,-1,1,-1
33,0,578,39,5,62397.41,1,89207.61,-1,-1,1,-1,-1,-1,1
34,0,652,32,6,62397.41,2,105200.8,1,1,1,-1,-1,-1,1
35,0,631,42,6,135385.72,1,125123.17,1,-1,-1,-1,1,1,-1
36,0,574,35,4,138926.85,1,84809.87,-1,-1,-1,-1,1,1,-1
37,0,650,41,5,98772.93,2,73192.05,1,-1,-1,-1,1,-1,1
38,0,722,65,6,97789.4,1,73016.82,1,1,1,-1,-1,-1,1
39,0,666,42,6,62397.41,3,87994.57,1,-1,-1,1,-1,1,-1
40,1,656,36,4,62397.41,1,90126.18,1,-1,1,-1,-1,-1,1
41,0,598,40,6,128289.78,1,139448.71,1,1,-1,-1,1,1,-1
42,1,560,51,3,132909.52,3,87056.81,-1,-1,-1,1,-1,1,-1
43,0,672,37,2,121755.66,2,101345.85,1,-1,1,-1,-1,1,-1
44,0,648,42,6,101286.1,2,131810.26,-1,1,-1,-1,1,1,-1
45,0,745,50,6,114317.96,1,79173.2,1,1,1,-1,-1,-1,1
46,0,563,43,5,117606.24,1,68261.03,1,-1,1,-1,-1,1,-1
47,0,634,60,6,62397.41,2,81739.17,-1,1,1,-1,-1,-1,1
48,0,546,48,4,62397.41,2,81481.6,1,1,-1,1,-1,1,-1
